"COMPETITOR NAMES, as at 6:19AM on Sunday 7th"
DAY 1: Friday 6th March 2026
Race,Time,Event #,Event Type,Round,Division,Names
1 (A),08:00,1,B U17 1X,heat,1,"Aidan Taylor, Oscar Hearfield, Luca Cartwright, Adam Albert-May, Nicky Maxim, Jack Murphy, Kayden Taufa, Danny Robert"
2 (B),08:04,1,B U17 1X,heat,2,"Toby Whytock, Samuel Peacocke, Coby Cooper, Aidan Rook, Karlon Johnson, Jan Trupke, Ayden Atkinson, Michael McGinty, Tobias Werahiko"
3 (C),08:08,1,B U17 1X,heat,3,"Samuel Gower, Egor Ochagov, Vaughn Cameron, Tom Gilbertson, Jack Hurley, Johann Giermann, James Montgomerie, Caleb Brown, Axel Wright"
4 (D),08:12,1,B U17 1X,heat,4,"Mattias Tafto, Lucas Powell, Adam Li, Joseph Dudson, Blake Leach, Zac Hinds, Max Willats, Jayden Pinkerton, Lennox Lloyd"
5 (E),08:16,1,B U17 1X,heat,5,"Callum McRobbie, Alfred Desbonnets, Oliver Marr, Matthijs van De Kuilen, Ted Rattray, Oliver Kohlhase, Cooper Prater, Caleb Lannam, Corbin Martin"
6 (F),08:20,2,G U17 4+,heat,1,"Jade Davies, Eve Singleton, Jorjia Field, Thea Mace, Zara Morris, Miah Porima, Sarah-Kate Nicholas, Amber Alcock, Kaitlyn Ross, Maddie Corles, Elsie Carter, Tessa Toner, Rosalee Carruthers, Elyse Redshaw, Isabel Gilbert, Caitlin Jagger, Ava Moffat, Kionasina Bradbeer, Megan Day, Makayla Sadler, Lucinda Day, Ada Findlow, Olivia Bethell, Emily Keene, Kate Miller, Charlotte Tuck, Mishara Fodie, Remy Kastelan, Gabriela Fullerton-Smith, Amelia McNaughton, Romy Law, Isabella Connor, Petra Bryant, Hannah Cooper, Olivia Sexton-Leko"
7 (G),08:24,2,G U17 4+,heat,2,"Josephine Peacocke, Claire Gerring, Ruby Martin, Keiley Bennett, Lauren Reeve, Olive MacDonald, Pippa Peacocke, Isla McDonald, Taylor Ewen, Tyler Dalton, Madeleine Worrall, Emily Dick, Sophie Priscott, Addison Hewlett, Rose Finlayson, Alaska Humphrey, Sophie Duncan, Alex Dreyer, Ruby Horner, Alex Pedley, Keava Burrough, Ryan Woods, Lucy Turnbull, Pippa Melville, Kiri Ormsby, Lola Storey, Maddie Wellington, Octavia Snelling, Ruhi Powdrell, Selma Smith, Matilda Burdekin, Amelia Barry, Katie Jones, Amy Ison, Lauren Hunt"
8 (H),08:28,2,G U17 4+,heat,3,"Emilia Hughes, Hazel Sargent, Ruby Barker, Isabella Ware, Zoe Baker, Sophie Cranstone, Isabelle Walker, Grace Henley, Emma Bullock, Angus McConnell, Olivia Gibson, Scout Loten, Alexi Buchanan, Jessica Hawkes, Kate Stables, Milla Wright, Madison Bruford, Billie Burn, Priya Hermansson, Pieta Cumming, Lena Waswo, Ellie Palmer, Phoebe McArthur, Isla Law, Emily Clarke, Brianna Burgess, Adriana Ramirez, Maddi Fox, Amelia Jordan, Charli Barron"
9 (I),08:33,3,B U15 2X,heat,1,"Mwea David, Liam Ashford, Alex Smith, Albie Robertson, Hugo Joe, Timothy Liang, Ivan Hui, Sebastian Tallon, Jack Benjamin, Harry Booth, Zeke Barsanti, Jeremy Szczebiot, Sam Stewart, Jackson Crawford, Henry Wallingford, Arthur McCarthy"
10 (J),08:38,3,B U15 2X,heat,2,"Kees Garvie, Charles Smith, Albert Oldershaw, Alakay Badenhorst, Luca Kuehne, Logan McBride, Noah Gibbs, Wilson Slavic, Louis Kelly, Costin Eley, Cole Lindsay, Cody Waters, Hamish Ball, Daniel Wettasinghe, Stiaan Mellett, Noah Awburn"
