"COMPETITOR NAMES, as at 6:21AM on Thursday 24th"
DAY 1: Saturday 19th September 2026
Race,Time,Event #,Event Type,Round,Division,Names
1 (A),08:30,1,W Mst C 2X,final,A,"Eleanor Chichester, Jacinda Allwood, Tanya McDermott, Belle Woods, Lisa Hale, Lena Cassidy-Clark, Julie Samuelson, Kristy Edhouse, Ella Keys, Kathryn Sigley"
2 (B),08:35,2,M Mst D 1X,heat,1,"Attila Karpati, Matt Bailey, Jerome Feuillade, Andreas Giannakogiorgos, Steve Westlake"
3 (C),08:40,2,M Mst D 1X,heat,2,"Martin Sharrock, Mladen Macanovic, Cameron Elliott, Dave Derecourt, Scott Inglis, David Speed"
4 (D),08:45,3,W Mst F 4X-,final,A,"Maria Chandler, Lynda Jelbert, Jolanda Meijer, Vivienne Ivory, Sue Wright, Anna Taylor, Sarah Sinclair, Tina Gunn, Maria Seymour, Jo-Anne Stokes, Liane McGee, Jo Young, Sharon Ducker, Michelle Reaks, Sharon Bray, Trudy Moulden"
5 (E),08:50,5,M Mst F 2X,final,A,"Kelvin Maker, Peter Fraser, Guy Aitchison, Greg Vanderpeet, Colin Wright, Desmond Healy, Tim Russell, Hamish Peters, Riaan van Greuning, Tony Corkery, Kevin Horan, Bruce Tate, Mike Harrison, Bradley Taylor"
6 (F),08:55,6,W Mst D 1X,final,A,"Inge Morton, Claire Venn, Debbie Rowe, Jane McGimpsey"
7 (G),09:00,7,M A-C 2-,final,A,"Jasper Baur, Wing Kam, Nathan Jones, Scott Alderson, Daniel Norman, Scott Griffin"
8 (H),09:05,8,W Mst B 4X-,final,A,"Benita Douglas, Alice Beban-France, Lynaree Burns, Debbie Sunnex, Leona Walpert, Lucy Catherine Mitchell, Danni Blizzard, Anna Quartero, Karen Verwey, Stacey Bax, Tanya McDermott, Belle Woods, Caroline Robertson, Natasha Baldwin, Jane Dee, Emilee Butler"
9 (I),09:10,9,W Mst A 1X,final,A,"Carmen Lammerding, Nicola Goss, Holly Gray, Amy Robson"
10 (J),09:15,10,M Mst E 2-,final,A,"Robert Young, Bryan Beardshaw, Simon Carey, Simon Taylor"
11 (K),09:20,11,W Mst I 1X,final,A,"Judy Shadbolt"
11 (K),09:20,12,W Mst G 2X,final,A,"Liz Jarmey, Catherine Kappelle"
11 (K),09:20,13,W Mst H 1X,final,A,"Alison McLeod"
12 (L),09:25,14,W Mst E 4X-,final,A,"Michelle de Jong, Heidi Oliver, Debbie Sunnex, Lynaree Burns, Melissa Bray, Jane Higgins, Trish Rice, Amanda Richards, Andrea Chadfield, Tamara Tesolin, Joanne Waller, Raechel Cummins, Emily Henderson, Alex Hunter, Louise O'Hagan, Helen Moore, Deborah Sorensen, Maria Seymour, Liane McGee, Vivienne Ivory"
13 (M),09:30,15,M G-M 8+,final,A,"Desmond Healy, Richard Brock, Murray Stewart, Alan Cleaver, Kerry Dombroski, Kevin Horan, Colin Wright, Bruce Tate, Sue O'Leary, Jon Sadler, Graham Watt, Gordon Williams, Steve Barns, Phillip Lee, Shaun Stuart-Jones, Nick Hanna, Bruce Wills, Julie Samuelson"
14 (N),09:35,2,M Mst D 1X,final,A,"Andreas Giannakogiorgos, Martin Sharrock, Mladen Macanovic, Steve Westlake, Jerome Feuillade, Attila Karpati"
15 (O),10:10,19,W MNw 4X+,final,A,"Emma Lowe, Lou Trent, Jacqueline Griffin, Raewynn White, Alice Beban-France, Leona Walpert, Kelly Lavalley, Anna Taylor, Sarah Sinclair, Carolyn Harrison, Jolanda Meijer, Paula Pope, Deborah Sorensen, Jo Young, Isaac Jelbert, Faith McGregor, Katy Amundsen Newton, Anna Loftus, Elly Arnst, Misha Young, Mandy Good, Rose Sharp, Loren Cameron, Rachel Lockwood, Jan Goddard, Lisa Hale, Vanessa Mace, Rebecca Jones, Amanda Johnstone, Grace Iremonger"
