"COMPETITOR NAMES, as at 11:00AM on Thursday 17th"
DAY 1: Saturday 19th September 2026
Race,Time,Event #,Event Type,Round,Division,Names
1 (_),08:30,1,W Mst C 2X,final,A,"Eleanor Chichester, Jacinda Allwood, Tanya McDermott, Belle Woods, Lisa Hale, Lena Cassidy-Clark, Julie Samuelson, Kristy Edhouse, Ella Keys, Kathryn Sigley"
2 (_),08:35,2,M Mst D 1X,heat,1,"Attila Karpati, Matt Bailey, Jerome Feuillade, Steve Westlake, Andreas Giannakogiorgos"
3 (_),08:40,2,M Mst D 1X,heat,2,"Martin Sharrock, Mladen Macanovic, Cameron Elliott, Dave Derecourt, Scott Inglis, David Speed"
4 (_),08:45,3,W Mst F 4X-,final,A,"Maria Chandler, Lynda Jelbert, Jolanda Meijer, Vivienne Ivory, Sue Wright, Anna Taylor, Sarah Sinclair, Tina Gunn, Maria Seymour, Jo-Anne Stokes, Liane McGee, Jo Young, Sharon Ducker, Michelle Reaks, Sharon Bray, Trudy Moulden"
5 (_),08:50,5,M Mst F 2X,final,A,"Kelvin Maker, Peter Fraser, Guy Aitchison, Greg Vanderpeet, Colin Wright, Desmond Healy, Riaan van Greuning, Tony Corkery, Tim Russell, Hamish Peters, Kevin Horan, Bruce Tate, Mike Harrison, Bradley Taylor"
6 (_),08:55,6,W Mst D 1X,final,A,"Inge Morton, Claire Venn, Debbie Rowe, Jane McGimpsey"
7 (_),09:00,7,M A-C 2-,final,A,"Jasper Baur, Wing Kam, Nathan Jones, Scott Alderson, Daniel Norman, Scott Griffin"
8 (_),09:05,8,W Mst B 4X-,final,A,"Benita Douglas, Alice Beban-France, Lynaree Burns, Debbie Sunnex, Leona Walpert, Lucy Catherine Mitchell, Danni Blizzard, Anna Quartero, Karen Verwey, Stacey Bax, Tanya McDermott, Belle Woods, Caroline Robertson, Natasha Baldwin, Jane Dee, Emilee Butler"
9 (_),09:10,9,W Mst A 1X,final,A,"Chloe Readman-Bell, Carmen Lammerding, Nicola Goss, Holly Gray, Amy Robson"
10 (_),09:15,10,M Mst E 2-,final,A,"Robert Young, Bryan Beardshaw, Cameron Elliott, Chris Brake, Simon Carey, Simon Taylor"
11 (_),09:20,11,W Mst I 1X,final,A,"Judy Shadbolt"
11 (_),09:20,12,W Mst G 2X,final,A,"Liz Jarmey, Catherine Kappelle"
11 (_),09:20,13,W Mst H 1X,final,A,"Alison McLeod"
